시도,시군구,생활용_개소수,생활용_이용량,공업용_개소수,공업용_이용량,농업용_개소수,농업용_이용량,기타용_개소수,기타용_이용량
전라남도,담양군,11969,6763722,132,1648945,10002,61159482,8,1865
전라남도,목포시,482,741999,17,189221,104,342608,0,0
전라남도,무안군,4219,2514836,55,73395,14509,18047622,2,7665
전라남도,보성군,4077,3468958,49,234936,6966,7362241,0,0
전라남도,순천시,11453,11456219,43,793193,8320,26758504,0,0
전라남도,신안군,170,825330,4,27690,422,1191997,29,63302
전라남도,여수시,6393,5964495,86,575209,3918,4313895,0,0
전라남도,영광군,4364,2679006,24,505865,7449,11937877,3,41585
전라남도,영암군,5887,6453466,33,1129482,4621,10529506,5,120682
전라남도,완도군,562,1116774,7,28881,935,3008582,9,11716
전라남도,장성군,7140,3935518,44,1132377,5207,7176898,1,14600
전라남도,장흥군,486,2794517,10,223066,4336,13463799,3,3723
전라남도,진도군,428,1970290,14,136875,2459,4082248,3,45625
전라남도,함평군,7620,6275633,50,576101,7564,16316153,8,100022
전라남도,해남군,14910,6728427,67,551826,19897,24429153,1,0
전라남도,화순군,1676,4121888,17,592528,1877,2812900,6,328000
전북특별자치도,고창군,6619,4715182,56,424026,34912,33344504,14,43465
전북특별자치도,군산시,2258,2148695,37,825534,1025,1720329,3,1951
전북특별자치도,김제시,10198,6889575,117,1988540,14174,15788370,78,236799
전북특별자치도,남원시,11581,6929581,67,886223,21069,22688221,0,0
전북특별자치도,무주군,755,2087756,7,110035,1733,5012790,2,3551
전북특별자치도,부안군,4175,3138333,81,506207,10230,8073649,6,85535
전북특별자치도,순창군,6747,3869467,18,306850,9839,11171060,83,1524765
전북특별자치도,완주군,6981,10586230,34,913360,12550,14745537,0,0
전북특별자치도,익산시,11548,7038391,165,799098,12324,9593629,0,0
전북특별자치도,임실군,2721,2500921,10,595727,5183,8027824,0,0
전북특별자치도,장수군,1016,1016769,11,79994,3212,5198658,6,153744
전북특별자치도,전주시,3350,8001786,55,1228413,2735,6215227,0,0
전북특별자치도,정읍시,14093,5483046,58,57907,19983,19260030,13,21994
전북특별자치도,진안군,2789,5316168,19,176869,2269,9655230,3,30305
제주특별자치도,서귀포시,515,48214271,44,870167,2232,46890249,1,25963
제주특별자치도,제주시,855,94852795,85,987741,824,44583756,10,1042940
충청남도,계룡시,533,680820,9,113906,338,787525,1,0
충청남도,공주시,17334,19343454,151,1079357,13740,33732864,2,54000
충청남도,금산군,6737,5203568,119,1840262,9223,11306326,2,27000
충청남도,논산시,10215,8234825,165,671370,16723,22208372,0,0
충청남도,당진시,13130,15783243,80,2316101,5549,13079928,3,2190
충청남도,보령시,6243,8165734,66,632050,6932,20344430,3,15695
충청남도,부여군,17354,6433633,81,300362,11577,10073258,10,3500
충청남도,서산시,8813,5286088,55,1151220,22282,23969396,29,21334
충청남도,서천군,7945,4503687,91,897436,8561,11358890,0,0
충청남도,아산시,7011,18988958,201,2910592,7514,13059135,3,4410
충청남도,예산군,9426,16310980,60,744943,7096,14072628,26,29925
충청남도,천안시,16494,10297488,288,3903320,14304,17071493,23,1949
충청남도,청양군,5231,5660412,31,507681,6111,8098275,1,0
충청남도,태안군,8896,3774412,13,47088,10282,11191293,1133,3066353
충청남도,홍성군,10612,6183764,60,640895,10389,11031877,9,6102
충청북도,괴산군,4075,2919531,32,170400,4974,7171961,24,154751
충청북도,단양군,1643,1778756,41,1396963,520,1265296,9,1132
충청북도,보은군,5444,5497602,62,219537,5774,10826545,6,23025
충청북도,영동군,9519,8293127,98,1312857,5941,16577058,5,5085
충청북도,옥천군,10700,6208157,97,1276377,8568,13884673,27,453953
충청북도,음성군,11338,14031432,677,7294356,9075,21507784,13,123973
충청북도,제천시,6832,6784853,94,850249,5989,21063171,0,0
충청북도,증평군,2080,2953041,54,470546,2139,3406280,0,0
충청북도,진천군,7401,11368338,207,2699564,4451,13264416,4,32252
충청북도,청주시,24159,21686702,256,2422862,26146,26919283,26,424235
충청북도,충주시,12514,12764072,176,2264671,11681,26210001,52,300273
